,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 day ahead inc death,point,,2020-04-20,2020-04-21,10.57142857
1,01,1 day ahead inc death,quantile,0.01,2020-04-20,2020-04-21,2.714285714
2,01,1 day ahead inc death,quantile,0.025,2020-04-20,2020-04-21,3.428571429
3,01,1 day ahead inc death,quantile,0.05,2020-04-20,2020-04-21,4.285714286
4,01,1 day ahead inc death,quantile,0.1,2020-04-20,2020-04-21,5.428571429
5,01,1 day ahead inc death,quantile,0.15,2020-04-20,2020-04-21,6.142857143
6,01,1 day ahead inc death,quantile,0.2,2020-04-20,2020-04-21,6.857142857
7,01,1 day ahead inc death,quantile,0.25,2020-04-20,2020-04-21,7.571428571
8,01,1 day ahead inc death,quantile,0.3,2020-04-20,2020-04-21,8.142857142999999
9,01,1 day ahead inc death,quantile,0.35,2020-04-20,2020-04-21,8.714285713999999
10,01,1 day ahead inc death,quantile,0.4,2020-04-20,2020-04-21,9.285714286000001
11,01,1 day ahead inc death,quantile,0.45,2020-04-20,2020-04-21,9.857142857000001
12,01,1 day ahead inc death,quantile,0.5,2020-04-20,2020-04-21,10.57142857
13,01,1 day ahead inc death,quantile,0.55,2020-04-20,2020-04-21,11.14285714
14,01,1 day ahead inc death,quantile,0.6,2020-04-20,2020-04-21,11.85714286
15,01,1 day ahead inc death,quantile,0.65,2020-04-20,2020-04-21,12.57142857
16,01,1 day ahead inc death,quantile,0.7,2020-04-20,2020-04-21,13.42857143
17,01,1 day ahead inc death,quantile,0.75,2020-04-20,2020-04-21,14.28571429
18,01,1 day ahead inc death,quantile,0.8,2020-04-20,2020-04-21,15.42857143
19,01,1 day ahead inc death,quantile,0.85,2020-04-20,2020-04-21,16.71428571
20,01,1 day ahead inc death,quantile,0.9,2020-04-20,2020-04-21,18.57142857
21,01,1 day ahead inc death,quantile,0.95,2020-04-20,2020-04-21,21.42857143
22,01,1 day ahead inc death,quantile,0.975,2020-04-20,2020-04-21,24.14285714
23,01,1 day ahead inc death,quantile,0.99,2020-04-20,2020-04-21,27.85714286
24,01,2 day ahead inc death,point,,2020-04-20,2020-04-22,10.57142857
25,01,2 day ahead inc death,quantile,0.01,2020-04-20,2020-04-22,2.5714285709999998
26,01,2 day ahead inc death,quantile,0.025,2020-04-20,2020-04-22,3.428571429
27,01,2 day ahead inc death,quantile,0.05,2020-04-20,2020-04-22,4.285714286
28,01,2 day ahead inc death,quantile,0.1,2020-04-20,2020-04-22,5.285714286
29,01,2 day ahead inc death,quantile,0.15,2020-04-20,2020-04-22,6.142857143
30,01,2 day ahead inc death,quantile,0.2,2020-04-20,2020-04-22,6.857142857
31,01,2 day ahead inc death,quantile,0.25,2020-04-20,2020-04-22,7.428571429
