forecast_date,target,target_end_date,location,type,quantile,value
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.01,3514.99
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.025,3524
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.05,3529.95
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.1,3543.9
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.15,3552
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.2,3562
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.25,3571
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.3,3578
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.35,3586
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.4,3593
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.45,3600
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.5,3610
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.55,3617.45
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.6,3626
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.65,3636.35
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.7,3648
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.75,3659
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.8,3673
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.85,3687
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.9,3716.1
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.95,3761.05
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.975,3819
2020-11-23,1 wk ahead cum death,2020-11-28,01,quantile,0.99,3865.1
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.01,3571.99
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.025,3591
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.05,3617
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.1,3638.9
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.15,3655
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.2,3671
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.25,3688
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.3,3706
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.35,3723
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.4,3741.6
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.45,3757.55
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.5,3775
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.55,3798
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.6,3818.4
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.65,3834.35
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.7,3859
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.75,3882.25
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.8,3907.2
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.85,3945.15
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.9,4006.2
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.95,4091.05
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.975,4175.23
2020-11-23,2 wk ahead cum death,2020-12-05,01,quantile,0.99,4276.02
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.01,3626.99
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.025,3651.98
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.05,3678.9
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.1,3716.9
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.15,3747
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.2,3773.8
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.25,3800
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.3,3828.7
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.35,3856
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.4,3886
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.45,3913.55
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.5,3937.5
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.55,3971
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.6,4001.4
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.65,4032.4
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.7,4065
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.75,4115.25
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.8,4154.6
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.85,4239.15
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.9,4308.2
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.95,4459.45
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.975,4603.05
2020-11-23,3 wk ahead cum death,2020-12-12,01,quantile,0.99,4767.29
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.01,3676.91
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.025,3709.98
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.05,3738.95
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.1,3790.8
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.15,3825.85
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.2,3865.6
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.25,3910
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.3,3944.7
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.35,3989.3
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.4,4026
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.45,4060.55
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.5,4097
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.55,4137.45
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.6,4184.4
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.65,4231.7
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.7,4275.9
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.75,4343.25
2020-11-23,4 wk ahead cum death,2020-12-19,01,quantile,0.8,4423
