"target","location","forecast_date","target_end_date","quantile","value","type"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.01,0,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.025,0,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.05,0,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.1,0,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.15,0,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.2,0.825777431791627,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.25,1.61732095161957,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.3,2.48996771758597,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.35,3.19018241437437,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.4,3.85211230981811,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.45,4.62652919889583,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.5,5.18580561664841,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.55,5.82368830222566,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.6,6.4426803433584,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.65,7.12031232027704,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.7,7.77372365544156,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.75,8.30268385645833,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.8,9.16696840336346,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.85,10.1085350284003,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.9,11.2448584348179,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.95,13.071264567966,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.975,14.709199001576,"quantile"
"1 day ahead inc hosp","02",2023-03-13,2023-03-14,0.99,16.2937298486294,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.01,0,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.025,0,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.05,0,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.1,0,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.15,0,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.2,0.467211980611983,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.25,1.37464955113197,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.3,2.03754289388863,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.35,2.68516537870443,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.4,3.28667746041497,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.45,3.99185148940484,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.5,4.69776289845982,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.55,5.3055280992692,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.6,5.86545279311959,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.65,6.49095874196489,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.7,7.35103886752704,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.75,8.07941359931761,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.8,8.98762529082489,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.85,9.95086883180914,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.9,11.1405656083435,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.95,13.1962302277918,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.975,14.4939080777541,"quantile"
"2 day ahead inc hosp","02",2023-03-13,2023-03-15,0.99,16.8182024526473,"quantile"
"3 day ahead inc hosp","02",2023-03-13,2023-03-16,0.01,0,"quantile"
