forecast_date,target,target_end_date,location,type,quantile,value
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.010,516025.7263412272
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.025,518449.05956709513
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.050,522126.89752885536
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.100,524462.5754710247
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.150,527510.0091328796
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.200,528738.5014744638
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.250,529947.0937243882
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.300,532017.8833085742
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.350,532821.1734235797
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.400,534170.9546536824
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.450,534730.362589677
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.500,535840.4766587113
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.550,536541.157143394
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.600,538532.5803457916
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.650,538859.5528085942
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.700,540266.3980407128
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.750,542034.0510619086
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.800,542807.0204798724
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.850,543835.573986095
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.900,546098.7183247628
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.950,549370.2886591156
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.975,551649.8651337783
2021-03-07,1 wk ahead cum death,2021-03-13,US,quantile,0.990,553340.9708217437
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.010,527019.3849411578
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.025,530792.1363537873
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.050,533031.0995429439
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.100,536527.6613486536
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.150,537588.4226340353
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.200,539879.5697199076
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.250,540965.6985999799
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.300,542200.6925785616
2021-03-07,2 wk ahead cum death,2021-03-20,US,quantile,0.350,543312.662100579
