forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.01,1411.1612274133984
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.025,1517.3304482938636
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.05,1624.3276843705005
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.1,1713.5103922327155
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.15,1783.4288044421608
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.2,1826.4766044363255
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.25,1875.7730278528022
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.3,1927.7367225530802
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.35,1971.88492793908
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.4,2010.879891578297
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.45,2051.7834497964177
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.5,2103.501085962972
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.55,2142.8939650403627
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.6,2184.3913958371004
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.65,2220.969690743289
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.7,2281.877277965803
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.75,2329.694978046323
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.8,2388.346115915229
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.85,2444.647727656814
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.9,2534.817781870295
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.95,2644.9745283719008
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.975,2758.113102790905
2020-04-24,1 day ahead inc death,2020-04-25,US,US,quantile,0.99,2850.8567069478718
2020-04-24,1 day ahead inc death,2020-04-25,US,US,point,NA,2108.576909552649
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.01,53357.161227413395
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.025,53463.33044829387
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.05,53570.327684370495
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.1,53659.51039223272
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.15,53729.428804442156
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.2,53772.47660443633
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.25,53821.7730278528
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.3,53873.736722553076
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.35,53917.884927939085
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.4,53956.8798915783
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.45,53997.783449796414
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.5,54049.50108596297
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.55,54088.89396504036
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.6,54130.3913958371
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.65,54166.96969074329
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.7,54227.8772779658
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.75,54275.694978046326
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.8,54334.346115915236
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.85,54390.64772765682
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.9,54480.817781870304
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.95,54590.9745283719
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.975,54704.11310279091
2020-04-24,1 day ahead cum death,2020-04-25,US,US,quantile,0.99,54796.856706947874
2020-04-24,1 day ahead cum death,2020-04-25,US,US,point,NA,54054.57690955265
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.01,1355.12045007353
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.025,1464.3307399670844
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.05,1563.4304035496164
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.1,1659.9278855779198
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.15,1732.6162118176608
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.2,1779.7231798112714
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.25,1826.635921879712
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.3,1883.6970395169035
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.35,1927.5650685559888
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.4,1963.988868080529
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.45,2018.7796569015493
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.5,2067.442884721777
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.55,2101.4504621949372
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.6,2142.4539578987383
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.65,2186.5146920301395
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.7,2253.0522712873744
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.75,2302.2079284260444
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.8,2354.115699876207
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.85,2408.880840586836
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.9,2509.376711552677
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.95,2605.594060014445
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.975,2754.7395832340526
2020-04-24,2 day ahead inc death,2020-04-26,US,US,quantile,0.99,2824.5874292197723
2020-04-24,2 day ahead inc death,2020-04-26,US,US,point,NA,2068.2975769225136
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.01,54712.281677486935
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.025,54927.66118826095
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.05,55133.75808792012
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.1,55319.43827781064
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.15,55462.04501625981
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.2,55552.1997842476
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.25,55648.40894973251
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.3,55757.43376206998
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.35,55845.44999649507
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.4,55920.86875965883
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.45,56016.56310669797
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.5,56116.94397068475
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.55,56190.3444272353
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.6,56272.84535373584
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.65,56353.48438277343
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.7,56480.929549253175
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.75,56577.902906472365
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.8,56688.46181579144
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.85,56799.52856824365
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.9,56990.194493422976
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.95,57196.56858838635
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.975,57458.85268602496
2020-04-24,2 day ahead cum death,2020-04-26,US,US,quantile,0.99,57621.444136167636
2020-04-24,2 day ahead cum death,2020-04-26,US,US,point,NA,56122.874486475164
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.01,1314.6552771793167
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.025,1421.2199901961078
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.05,1500.69927974133
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.1,1600.8423217430484
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.15,1676.4607215622107
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.2,1725.0894795930594
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.25,1782.1009251002884
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.3,1832.79095188512
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.35,1877.4626642804399
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.4,1924.19420942439
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.45,1967.8395727839786
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.5,2019.8717945193398
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.55,2065.428709325911
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.6,2106.0657412712844
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.65,2148.553975465224
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.7,2207.528459471244
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.75,2268.9678618370435
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.8,2323.374054711477
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.85,2377.2932059659993
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.9,2480.7834941836745
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.95,2574.900831441728
2020-04-24,3 day ahead inc death,2020-04-27,US,US,quantile,0.975,2717.987783888118
