location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead inc death,quantile,0.01,2020-06-29,2020-07-04,2643.5109676670004
US,1 wk ahead inc death,quantile,0.025,2020-06-29,2020-07-04,2756.6362611629997
US,1 wk ahead inc death,quantile,0.05,2020-06-29,2020-07-04,2925.588233688
US,1 wk ahead inc death,quantile,0.1,2020-06-29,2020-07-04,3115.385847983
US,1 wk ahead inc death,quantile,0.15,2020-06-29,2020-07-04,3252.289678209
US,1 wk ahead inc death,quantile,0.2,2020-06-29,2020-07-04,3368.6620585919995
US,1 wk ahead inc death,quantile,0.25,2020-06-29,2020-07-04,3480.177834493
US,1 wk ahead inc death,quantile,0.3,2020-06-29,2020-07-04,3556.142656475
US,1 wk ahead inc death,quantile,0.35,2020-06-29,2020-07-04,3637.5662070929993
US,1 wk ahead inc death,quantile,0.4,2020-06-29,2020-07-04,3717.811213186999
US,1 wk ahead inc death,quantile,0.45,2020-06-29,2020-07-04,3823.266712785
US,1 wk ahead inc death,quantile,0.5,2020-06-29,2020-07-04,3979.066897432
US,1 wk ahead inc death,quantile,0.55,2020-06-29,2020-07-04,4049.887955725
US,1 wk ahead inc death,quantile,0.6,2020-06-29,2020-07-04,4121.602328915999
US,1 wk ahead inc death,quantile,0.65,2020-06-29,2020-07-04,4188.800305936
US,1 wk ahead inc death,quantile,0.7,2020-06-29,2020-07-04,4269.7868603629995
US,1 wk ahead inc death,quantile,0.75,2020-06-29,2020-07-04,4360.107309434
US,1 wk ahead inc death,quantile,0.8,2020-06-29,2020-07-04,4449.233593855
US,1 wk ahead inc death,quantile,0.85,2020-06-29,2020-07-04,4557.059708393
US,1 wk ahead inc death,quantile,0.9,2020-06-29,2020-07-04,4710.3136330259995
US,1 wk ahead inc death,quantile,0.95,2020-06-29,2020-07-04,5079.392054246
US,1 wk ahead inc death,quantile,0.975,2020-06-29,2020-07-04,5287.537719342
US,1 wk ahead inc death,quantile,0.99,2020-06-29,2020-07-04,5475.851311975001
US,1 wk ahead inc death,point,,2020-06-29,2020-07-04,3917.501981915
US,1 wk ahead cum death,quantile,0.01,2020-06-29,2020-07-04,128045.956032
US,1 wk ahead cum death,quantile,0.025,2020-06-29,2020-07-04,128142.537972
US,1 wk ahead cum death,quantile,0.05,2020-06-29,2020-07-04,128287.353731
US,1 wk ahead cum death,quantile,0.1,2020-06-29,2020-07-04,128449.532924
US,1 wk ahead cum death,quantile,0.15,2020-06-29,2020-07-04,128565.631351
US,1 wk ahead cum death,quantile,0.2,2020-06-29,2020-07-04,128665.157496
US,1 wk ahead cum death,quantile,0.25,2020-06-29,2020-07-04,128762.817581
US,1 wk ahead cum death,quantile,0.3,2020-06-29,2020-07-04,128828.195321
US,1 wk ahead cum death,quantile,0.35,2020-06-29,2020-07-04,128898.12443599998
US,1 wk ahead cum death,quantile,0.4,2020-06-29,2020-07-04,128966.553478
US,1 wk ahead cum death,quantile,0.45,2020-06-29,2020-07-04,129057.708826
US,1 wk ahead cum death,quantile,0.5,2020-06-29,2020-07-04,129191.007767
US,1 wk ahead cum death,quantile,0.55,2020-06-29,2020-07-04,129252.284735
US,1 wk ahead cum death,quantile,0.6,2020-06-29,2020-07-04,129314.272977
US,1 wk ahead cum death,quantile,0.65,2020-06-29,2020-07-04,129372.295532
US,1 wk ahead cum death,quantile,0.7,2020-06-29,2020-07-04,129441.555424
US,1 wk ahead cum death,quantile,0.75,2020-06-29,2020-07-04,129519.65745
US,1 wk ahead cum death,quantile,0.8,2020-06-29,2020-07-04,129596.136847
US,1 wk ahead cum death,quantile,0.85,2020-06-29,2020-07-04,129688.486058
US,1 wk ahead cum death,quantile,0.9,2020-06-29,2020-07-04,129818.966076
US,1 wk ahead cum death,quantile,0.95,2020-06-29,2020-07-04,130139.343408
US,1 wk ahead cum death,quantile,0.975,2020-06-29,2020-07-04,130317.998433
US,1 wk ahead cum death,quantile,0.99,2020-06-29,2020-07-04,130480.497241
US,1 wk ahead cum death,point,,2020-06-29,2020-07-04,129139.169891
US,2 wk ahead inc death,quantile,0.01,2020-06-29,2020-07-11,2673.593351207
US,2 wk ahead inc death,quantile,0.025,2020-06-29,2020-07-11,2801.33168298
US,2 wk ahead inc death,quantile,0.05,2020-06-29,2020-07-11,2978.900990545
US,2 wk ahead inc death,quantile,0.1,2020-06-29,2020-07-11,3183.2093278770008
US,2 wk ahead inc death,quantile,0.15,2020-06-29,2020-07-11,3314.642825314
US,2 wk ahead inc death,quantile,0.2,2020-06-29,2020-07-11,3429.675378723
US,2 wk ahead inc death,quantile,0.25,2020-06-29,2020-07-11,3556.1597554800005
US,2 wk ahead inc death,quantile,0.3,2020-06-29,2020-07-11,3669.01577636
US,2 wk ahead inc death,quantile,0.35,2020-06-29,2020-07-11,3761.547323747
US,2 wk ahead inc death,quantile,0.4,2020-06-29,2020-07-11,3859.080574575
US,2 wk ahead inc death,quantile,0.45,2020-06-29,2020-07-11,3979.1219578009996
US,2 wk ahead inc death,quantile,0.5,2020-06-29,2020-07-11,4117.910219265002
US,2 wk ahead inc death,quantile,0.55,2020-06-29,2020-07-11,4208.4272480770005
US,2 wk ahead inc death,quantile,0.6,2020-06-29,2020-07-11,4306.436804876
US,2 wk ahead inc death,quantile,0.65,2020-06-29,2020-07-11,4389.801987823
US,2 wk ahead inc death,quantile,0.7,2020-06-29,2020-07-11,4486.696814426001
US,2 wk ahead inc death,quantile,0.75,2020-06-29,2020-07-11,4601.4676904729995
US,2 wk ahead inc death,quantile,0.8,2020-06-29,2020-07-11,4711.019096657
US,2 wk ahead inc death,quantile,0.85,2020-06-29,2020-07-11,4836.125464072
US,2 wk ahead inc death,quantile,0.9,2020-06-29,2020-07-11,5017.440867065
US,2 wk ahead inc death,quantile,0.95,2020-06-29,2020-07-11,5387.928480147
US,2 wk ahead inc death,quantile,0.975,2020-06-29,2020-07-11,5622.938921831
US,2 wk ahead inc death,quantile,0.99,2020-06-29,2020-07-11,5848.483068725
US,2 wk ahead inc death,point,,2020-06-29,2020-07-11,4098.947137989
US,2 wk ahead cum death,quantile,0.01,2020-06-29,2020-07-11,130723.48925
US,2 wk ahead cum death,quantile,0.025,2020-06-29,2020-07-11,130947.623075
US,2 wk ahead cum death,quantile,0.05,2020-06-29,2020-07-11,131269.574857
US,2 wk ahead cum death,quantile,0.1,2020-06-29,2020-07-11,131635.834578
US,2 wk ahead cum death,quantile,0.15,2020-06-29,2020-07-11,131883.706599
US,2 wk ahead cum death,quantile,0.2,2020-06-29,2020-07-11,132097.90808199998
