forecast_date,target,target_end_date,location,type,quantile,value
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.01,4031.631827559
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.025,4221.033063135
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.05,4390.307912421999
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.1,4612.129400559
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.15,4765.460248333
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.2,4924.582181679
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.25,5051.960937535
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.3,5176.90193935
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.35,5298.512130294001
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.4,5407.198999873999
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.45,5537.803945402
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.5,5662.82363243
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.55,5788.054289831999
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.6,5914.5317440359995
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.65,6049.500622268
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.7,6183.219007307
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.75,6335.9085945120005
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.8,6521.783383454001
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.85,6738.044904424
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.9,7020.2796070389995
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.95,7464.183054270001
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.975,7864.12388008
2020-08-30,1 wk ahead inc death,2020-09-05,US,quantile,0.99,8317.75417968
2020-08-30,1 wk ahead inc death,2020-09-05,US,point,NA,5828.004702523001
2020-08-30,1 wk ahead cum death,2020-09-05,US,quantile,0.01,186789.67632
2020-08-30,1 wk ahead cum death,2020-09-05,US,quantile,0.025,186979.08268599998
2020-08-30,1 wk ahead cum death,2020-09-05,US,quantile,0.05,187148.348823
2020-08-30,1 wk ahead cum death,2020-09-05,US,quantile,0.1,187370.17460899998
