forecast_date,target,target_end_date,location,type,quantile,value
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.01,85
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.025,96
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.05,107
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.1,119
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.15,127
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.2,134
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.25,140
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.3,146
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.35,150
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.4,155
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.45,160
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.5,164
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.55,170
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.6,176
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.65,181
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.7,187
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.75,193
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.8,201
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.85,210
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.9,220
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.95,241
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.975,257
2020-08-10,1 wk ahead inc death,2020-08-15,01,quantile,0.99,279
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.01,67
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.025,84
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.05,96
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.1,114
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.15,125
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.2,133
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.25,139
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.3,145
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.35,152
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.4,159
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.45,165
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.5,171
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.55,177
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.6,184
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.65,191
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.7,197
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.75,205
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.8,216
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.85,230
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.9,248
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.95,280
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.975,314
2020-08-10,2 wk ahead inc death,2020-08-22,01,quantile,0.99,386
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.01,48
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.025,62
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.05,83
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.1,104
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.15,119
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.2,128
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.25,139
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.3,147
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.35,156
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.4,164
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.45,172
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.5,180
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.55,188
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.6,195
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.65,205
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.7,216
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.75,229
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.8,240
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.85,256
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.9,280
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.95,332
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.975,446
2020-08-10,3 wk ahead inc death,2020-08-29,01,quantile,0.99,1287
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.01,16
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.025,33
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.05,62
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.1,84
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.15,101
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.2,115
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.25,128
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.3,138
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.35,149
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.4,159
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.45,170
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.5,182
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.55,193
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.6,204
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.65,216
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.7,229
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.75,246
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.8,265
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.85,289
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.9,330
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.95,459
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.975,1284
2020-08-10,4 wk ahead inc death,2020-09-05,01,quantile,0.99,8558
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.01,1699
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.025,1709
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.05,1720
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.1,1733
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.15,1740
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.2,1747
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.25,1753
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.3,1759
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.35,1763
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.4,1768
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.45,1773
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.5,1778
2020-08-10,1 wk ahead cum death,2020-08-15,01,quantile,0.55,1784
