location,forecast_date,target,target_end_date,type,quantile,value
01,2021-07-05,1 wk ahead inc death,2021-07-10,point,,23
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.01,3
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.025,5
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.05,7
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.1,10
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.15,12
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.2,14
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.25,16
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.3,17
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.35,18
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.4,20
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.45,21
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.5,23
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.55,24
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.6,26
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.65,28
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.7,30
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.75,33
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.8,35
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.85,39
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.9,45
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.95,53
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.975,61
01,2021-07-05,1 wk ahead inc death,2021-07-10,quantile,0.99,78
01,2021-07-05,2 wk ahead inc death,2021-07-17,point,,21
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.01,4
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.025,6
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.05,8
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.1,9
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.15,11
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.2,12
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.25,13
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.3,15
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.35,16
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.4,18
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.45,19
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.5,21
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.55,22
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.6,24
01,2021-07-05,2 wk ahead inc death,2021-07-17,quantile,0.65,25
