forecast_date,target,target_end_date,location,type,quantile,value
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.025,99952
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.100,120344
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.250,136080
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.500,155138
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.750,174363
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.900,189177
2022-03-16,1 wk ahead inc case,2022-03-26,US,quantile,0.975,195422
2022-03-16,1 wk ahead inc case,2022-03-26,US,point,NA,146186
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.025,33205
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.100,77330
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.250,119572
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.500,148073
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.750,175560
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.900,192300
2022-03-16,2 wk ahead inc case,2022-04-02,US,quantile,0.975,206857
2022-03-16,2 wk ahead inc case,2022-04-02,US,point,NA,118752
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.025,16149
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.100,49461
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.250,110635
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.500,163728
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.750,210446
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.900,210446
2022-03-16,3 wk ahead inc case,2022-04-09,US,quantile,0.975,210446
2022-03-16,3 wk ahead inc case,2022-04-09,US,point,NA,105223
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.025,12636
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.100,34433
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.250,98906
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.500,191678
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.750,201264
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.900,201264
2022-03-16,4 wk ahead inc case,2022-04-16,US,quantile,0.975,201264
2022-03-16,4 wk ahead inc case,2022-04-16,US,point,NA,100632
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.025,12254
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.100,25265
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.250,71751
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.500,187213
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.750,188792
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.900,188792
2022-03-16,5 wk ahead inc case,2022-04-23,US,quantile,0.975,188792
2022-03-16,5 wk ahead inc case,2022-04-23,US,point,NA,94396
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.025,11394
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.100,23491
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.250,66712
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.500,174066
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.750,175534
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.900,175534
2022-03-16,6 wk ahead inc case,2022-04-30,US,quantile,0.975,175534
2022-03-16,6 wk ahead inc case,2022-04-30,US,point,NA,87767
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.025,11205
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.100,23101
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.250,65605
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.500,171178
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.750,172622
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.900,172622
2022-03-16,7 wk ahead inc case,2022-05-07,US,quantile,0.975,172622
2022-03-16,7 wk ahead inc case,2022-05-07,US,point,NA,86311
2022-03-16,1 wk ahead inc death,2022-03-26,US,quantile,0.010,416
2022-03-16,1 wk ahead inc death,2022-03-26,US,quantile,0.025,443
