location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/12/20, 30, 35, 37, 45, 50, 54, 58, 61, 65, 69, 73, 75, 78, 83, 86, 91, 100, 116, 120, 136, 167, 218, 245, 0, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 9, 10, 11, 12, 13, 7, 14, 31, 62, 85, 113, 145, 183, 211, 246, 275, 291, 305, 331, 365, 385, 401, 431, 463, 492, 511, 528, 531
Alaska,2,04/12/20, 1, 1, 3, 6, 8, 9, 9, 11, 11, 12, 13, 14, 16, 19, 20, 22, 23, 25, 27, 32, 42, 55, 63, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 6, 0, 0, 4, 13, 18, 26, 34, 42, 49, 54, 63, 74, 77, 92, 98, 102, 105, 109, 119, 123, 126, 131, 134
Arizona,4,04/12/20, 51, 99, 107, 124, 157, 190, 199, 211, 228, 244, 269, 294, 312, 321, 339, 374, 426, 439, 480, 510, 562, 625, 835, 6, 7, 9, 10, 12, 13, 15, 17, 17, 17, 18, 19, 23, 24, 24, 27, 28, 31, 33, 35, 39, 42, 54, 24, 49, 94, 224, 329, 429, 538, 688, 814, 877, 971, 1078, 1168, 1298, 1388, 1491, 1623, 1748, 1840, 1954, 2074, 2121, 2169
Arkansas,5,04/12/20, 1, 2, 3, 4, 6, 9, 10, 12, 13, 14, 16, 19, 20, 22, 25, 28, 30, 33, 39, 43, 49, 65, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 7, 4, 4, 8, 17, 37, 42, 54, 61, 70, 78, 85, 87, 96, 100, 103, 109, 114, 121, 131, 140, 151, 151, 151
California,6,04/12/20, 153, 222, 335, 456, 479, 576, 630, 716, 826, 861, 930, 1032, 1123, 1188, 1295, 1411, 1502, 1623, 1870, 2220, 2679, 3773, 5205, 12, 16, 26, 35, 42, 47, 53, 57, 63, 71, 74, 80, 89, 93, 101, 109, 120, 136, 145, 176, 200, 249, 373, 134, 247, 400, 977, 1498, 1980, 2595, 3111, 3698, 4133, 4664, 5035, 5544, 6086, 6481, 6926, 7308, 7727, 8038, 8662, 9021, 9365, 9439
Colorado,8,04/12/20, 116, 144, 176, 186, 233, 255, 266, 285, 303, 322, 347, 370, 376, 404, 410, 432, 464, 515, 547, 675, 834, 995, 1115, 6, 10, 13, 16, 17, 19, 20, 22, 24, 25, 25, 27, 28, 29, 31, 33, 35, 38, 41, 52, 60, 63, 73, 31, 68, 148, 315, 472, 609, 790, 939, 1097, 1221, 1362, 1510, 1621, 1784, 1914, 2066, 2232, 2375, 2520, 2692, 2826, 2882, 2936
Connecticut,9,04/12/20, 134, 214, 240, 270, 293, 324, 352, 378, 417, 465, 491, 524, 557, 581, 628, 683, 724, 794, 862, 960, 1057, 1103, 1511, 9, 12, 16, 20, 26, 30, 32, 33, 35, 37, 39, 41, 43, 47, 50, 54, 57, 60, 62, 71, 85, 92, 111, 57, 128, 216, 511, 749, 942, 1229, 1397, 1597, 1752, 2037, 2203, 2455, 2640, 2889, 3126, 3380, 3596, 3792, 4031, 4251, 4370, 4450
Delaware,10,04/12/20, 2, 2, 4, 6, 8, 9, 12, 14, 16, 19, 23, 26, 33, 34, 37, 40, 47, 57, 67, 76, 106, 132, 177, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 7, 9, 11, 3, 8, 13, 23, 31, 39, 58, 69, 89, 102, 114, 120, 127, 140, 148, 165, 177, 201, 220, 229, 237, 242, 245
Florida,12,04/12/20, 248, 373, 458, 525, 604, 662, 730, 783, 832, 937, 968, 1000, 1075, 1187, 1306, 1389, 1431, 1507, 1661, 1901, 2474, 2721, 3039, 23, 27, 35, 51, 55, 57, 58, 61, 63, 67, 72, 79, 86, 89, 96, 109, 114, 123, 127, 146, 171, 197, 220, 98, 201, 421, 876, 1448, 1944, 2606, 3254, 3710, 4090, 4458, 4834, 5240, 5704, 6074, 6480, 6869, 7325, 7649, 8152, 8598, 8793, 8866
Georgia,13,04/12/20, 87, 96, 124, 151, 167, 180, 196, 211, 228, 241, 257, 277, 298, 308, 340, 357, 382, 412, 462, 528, 694, 890, 916, 4, 5, 8, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 29, 36, 42, 53, 60, 63, 25, 48, 85, 178, 296, 409, 635, 794, 939, 1049, 1157, 1253, 1349, 1456, 1531, 1636, 1739, 1842, 1966, 2099, 2196, 2273, 2296
