date,deaths_daily_q_0.01,deaths_daily_q_0.025,deaths_daily_q_0.05,deaths_daily_q_0.1,deaths_daily_q_0.15,deaths_daily_q_0.2,deaths_daily_q_0.25,deaths_daily_q_0.3,deaths_daily_q_0.35,deaths_daily_q_0.4,deaths_daily_q_0.45,deaths_daily_q_0.5,deaths_daily_q_0.55,deaths_daily_q_0.6,deaths_daily_q_0.65,deaths_daily_q_0.7,deaths_daily_q_0.75,deaths_daily_q_0.8,deaths_daily_q_0.85,deaths_daily_q_0.9,deaths_daily_q_0.95,deaths_daily_q_0.975,deaths_daily_q_0.99,deaths_daily_q_point,deaths_total_q_0.01,deaths_total_q_0.025,deaths_total_q_0.05,deaths_total_q_0.1,deaths_total_q_0.15,deaths_total_q_0.2,deaths_total_q_0.25,deaths_total_q_0.3,deaths_total_q_0.35,deaths_total_q_0.4,deaths_total_q_0.45,deaths_total_q_0.5,deaths_total_q_0.55,deaths_total_q_0.6,deaths_total_q_0.65,deaths_total_q_0.7,deaths_total_q_0.75,deaths_total_q_0.8,deaths_total_q_0.85,deaths_total_q_0.9,deaths_total_q_0.95,deaths_total_q_0.975,deaths_total_q_0.99,deaths_total_q_point,infected_cur_q_0.01,infected_cur_q_0.025,infected_cur_q_0.05,infected_cur_q_0.1,infected_cur_q_0.15,infected_cur_q_0.2,infected_cur_q_0.25,infected_cur_q_0.3,infected_cur_q_0.35,infected_cur_q_0.4,infected_cur_q_0.45,infected_cur_q_0.5,infected_cur_q_0.55,infected_cur_q_0.6,infected_cur_q_0.65,infected_cur_q_0.7,infected_cur_q_0.75,infected_cur_q_0.8,infected_cur_q_0.85,infected_cur_q_0.9,infected_cur_q_0.95,infected_cur_q_0.975,infected_cur_q_0.99,infected_cur_q_point,infected_new_q_0.01,infected_new_q_0.025,infected_new_q_0.05,infected_new_q_0.1,infected_new_q_0.15,infected_new_q_0.2,infected_new_q_0.25,infected_new_q_0.3,infected_new_q_0.35,infected_new_q_0.4,infected_new_q_0.45,infected_new_q_0.5,infected_new_q_0.55,infected_new_q_0.6,infected_new_q_0.65,infected_new_q_0.7,infected_new_q_0.75,infected_new_q_0.8,infected_new_q_0.85,infected_new_q_0.9,infected_new_q_0.95,infected_new_q_0.975,infected_new_q_0.99,infected_new_q_point
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,95.10702300820782,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,142.66053451231173,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,190.21404601641564,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,237.76755752051955,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,285.32106902462345,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,332.8745805287274,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,380.4280920328313,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,427.98160353693515,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,47.55351150410391
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,289.9267159658739,294.4129326069827,294.61567432599384,294.76150982903687,294.9943257168807,299.23298829323187,299.9583760421306,303.5153890749191,307.41899735889973,569.4616092422445,569.7463455392895,569.988362056814,578.3326218379276,579.128249083561,579.9426097806961,588.0925938246652,839.4948643402146,839.7598487471299,839.9733637008768,839.9849642883337,853.6637128087784,854.8211303587682,854.9112909382713,546.3620661736933,64.92671596587388,69.41293260698268,69.61567432599385,69.76150982903687,69.99432571688072,74.23298829323186,74.95837604213061,78.51538907491911,82.41899735889973,119.46160924224452,119.74634553928942,119.98836205681404,128.33262183792763,129.12824908356092,129.94260978069607,138.0925938246652,164.49486434021458,164.7598487471299,164.9733637008768,164.98496428833363,178.66371280877837,179.82113035876824,179.91129093827135,118.38046263675808
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,354.60789804902026,363.47116360779694,363.918961269492,364.2417027302731,364.75727675100336,373.072503008171,374.6678012205854,381.49179593086194,389.08496811609217,688.3497558447232,688.9791660706081,689.5147086388458,705.8591905358129,707.6117021915734,709.4011385982055,725.3256211205165,1003.1939675942376,1003.7804438785936,1004.250223816548,1004.2791565937111,1031.3588477135972,1033.8721954672178,1034.0963956861694,664.1745721207012,64.68118208314638,69.05823100081425,69.30328694349815,69.48019290123624,69.76295103412264,73.83951471493916,74.70942517845478,77.97640685594283,81.66597075719245,118.88814660247863,119.23282053131864,119.52634658203183,127.52656869788527,128.4834531080125,129.45852881750943,137.23302729585131,163.69910325402302,164.02059513146364,164.27686011567116,164.2941923053775,177.6951349048187,179.05106510844956,179.185104747898,117.81250594700793
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,422.2249703679152,436.0690561041125,436.85665249653715,437.42580829733987,438.33600241137214,451.2963667300258,454.10499849436326,464.52371569462787,476.3649357822814,811.4471388634566,812.5417110629768,813.4743963110076,838.5874339299792,841.6395107455348,844.7478211851344,869.3008461419704,1171.3985714851374,1172.4135961049033,1173.2207667341559,1173.277827946958,1215.1489519948418,1219.4225729821499,1219.865839987751,786.8414432048382,67.61707231889494,72.59789249631555,72.93769122704515,73.18410556706674,73.57872566036878,78.22386372185478,79.4371972737779,83.0319197637659,87.27996766618922,123.0973830187335,123.5625449923687,123.95968767216172,132.7282433941663,134.02780855396148,135.34668258692886,143.97522502145392,168.20460389089965,168.63315222630968,168.97054291760776,168.99867135324683,183.79010428124457,185.550377514932,185.7694443015816,122.66687108413707
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,495.9334590897261,516.0171276138859,517.3122821679062,518.2514574158672,519.7556421493234,538.5680466302205,543.2048001626748,557.9992289874419,575.2804560824802,943.4588505450748,945.2232104227418,946.7294576031711,982.3378296447472,987.2803945486534,992.298453211816,1027.382530753627,1349.3320628100994,1350.9530020234183,1352.2303567611589,1352.3354019195256,1411.9409926110263,1418.6348929243015,1419.4558379377872,919.6873549782425,73.7084887218109,79.9480715097734,80.45562967136911,80.82564911852728,81.41963973795131,87.27167990019468,89.09980166831153,93.47551329281407,98.9155203001988,132.0117116816182,132.681499359765,133.25506129216348,143.75039571476802,145.64088380311853,147.5506320266816,158.0816846116565,177.93349132496198,178.53940591851494,179.00959002700301,179.05757397256758,196.79204061618452,199.21231994215174,199.58999795003618,132.84591177340425
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,582.294335371724,611.2481407361395,613.3813962798467,614.9352839249135,617.4290875607562,644.6306939932632,652.3166167680067,673.1827002354935,698.4087816124664,1094.1083432714681,1096.930068077056,1099.3448866363003,1149.1528378331448,1157.1207137954066,1165.178199535365,1214.8655946071376,1547.7452541914743,1550.300295819364,1552.306847811436,1552.4833387697336,1635.9934216846452,1646.3049046387448,1647.8315866442254,1073.7622101061459,86.36087628199783,95.23101312225359,96.06911411194055,96.6838265090463,97.67344541143282,106.06264736304274,109.11181660533195,115.18347124805149,123.12832552998623,150.6494927263932,151.70685765431415,152.61542903312923,166.81500818839757,169.84031924675313,172.87974632354894,187.48306385351054,198.41319138137487,199.34729379594563,200.07649105027718,200.147936850208,224.05242907361884,227.67001171444323,228.375748706438,154.07485512790342
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,688.3110328979001,730.1314869376331,733.6746239793936,736.2699481902199,740.4455814002421,779.8076980568787,792.6367016719263,821.8775260357756,858.6949744429469,1273.5673830722892,1278.101907418466,1281.9940389187122,1351.459538807803,1364.3709028308908,1377.3527696350945,1443.0954210107232,1778.6816503999285,1782.0826446872989,1785.07469171649,1794.7454878836888,1902.092790465905,1917.867539058254,1920.7486989732352,1260.6948946704156,106.01669752617617,118.88334620149361,120.29322769954679,121.33466426530642,123.01649383948589,135.17700406361553,140.3200849039196,148.69482580028213,160.28619283048045,179.45903980082113,181.17183934141,182.64915228241193,202.3067009746582,207.25018903548434,212.17457009972964,228.2298264035856,230.93639620845414,231.78234886793496,232.7678439050539,242.2621491139553,266.0993687812597,271.5626344195091,272.91711232900985,186.93268456426964
